EIS Number,Title,Title Link,Document,EPA Comment Letter Date,Federal Register Date,EIS Comment Due/Review Period Due,Agency,State,Download Documents,Document Link,Contact Name,Contact Phone
20180094,Supplement to the Final EIS for Invasive Plant Control Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249649,Final Supplement,,5/11/18,6/11/18,Forest Service,NM,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249649,Sandra Imler-Jacquez,505-438-5443
20180093,Santa Fe National Forest Geothermal Leasing Final Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249641,Final,,5/11/18,6/11/18,Forest Service,NM,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249641,Larry Gore,575-289-3264
20180092,Luna Restoration Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249503,Draft,,5/11/18,6/25/18,Forest Service,NM - AZ,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249503,Emily Irwin,575-773-4678
20180091,Draft Environment Impact Statement for the Blue Valley Ranch Land Exchange,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249492,Draft,,5/11/18,6/25/18,Bureau of Land Management,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249492,Annie Sperandio,970-724-3062
20180090,Amendment 8 to the Atlantic Herring Fishery Management Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249449,Draft,,5/11/18,6/25/18,National Marine Fisheries Service,MA - CT - ME - NH - NJ - NY - RI,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249449,Carrie Nordeen,978-281-9272
20180089,Mather Specific Plan Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249415,Final,,5/11/18,6/11/18,U.S. Army Corps of Engineers,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249415,Mary Pakenham-Walsh,916-557-7718
20180088,U.S. Highway 85_I-94 Interchange to Watford City Bypass (McKenzie County Road 30),https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249400,Draft,,5/11/18,6/25/18,Federal Highway Administration,ND,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249400,Kevin Brodie,701-221-9467
20180087,Southern Gardens Citrus Nursery LLC Permit to Release Genetically Engineered Citrus tristeza virus Draft Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249392,Draft,,5/11/18,6/25/18,Department of Agriculture,NAT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249392,Dr. Sidney Abel,301-851-–3896
20180086,Final Environmental Impact Statement for Glade Rangeland Management,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249341,Final,,5/11/18,6/11/18,Forest Service,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249341,Deborah Kill,970 882-6822
20180085,Nevada and Northeastern California Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249039,Draft,,5/4/18,8/2/18,Bureau of Land Management,NV - CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249039,Matt Magaletti,775-861-6472
20180084,Northwest Colorado Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249029,Draft,,5/4/18,8/2/18,Bureau of Land Management,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249029,Bridget Clayton,970-244-3045
20180083,Idaho Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249034,Draft,,5/4/18,8/2/18,Bureau of Land Management,ID,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249034,Jonathan Beck,208-373-3841
20180082,Oregon Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249045,Draft,,5/4/18,8/2/18,Bureau of Land Management,OR,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249045,Jim Regan-Vienop,503-808-6062
20180081,Utah Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249060,Draft,,5/4/18,8/2/18,Bureau of Land Management,UT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249060,Quincy Bahr,801-539-4122
20180080,Wyoming Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249065,Draft,,5/4/18,8/2/18,Bureau of Land Management,WY,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249065,Jennifer Fleuret,307-775-6329
20180079,Prince of Wales Landscape Level Analysis Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249177,Draft,,5/4/18,6/18/18,Forest Service,AK,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249177,Delilah Brigham,907-828-3232
20180078,Oakhill Parkway,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249129,Draft,,5/4/18,6/18/18,Texas Department of Transportation,TX,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249129,Carlos Swonke,512-416-2734
20180077,Olympic National Park Mountain Goat Management Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249116,Final,,5/4/18,6/4/18,National Park Service,WA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249116,Christina Miller,360-565-3004
20180076,Shawnee Fossil Plant Coal Combustion Residual Management,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249107,Draft Supplement,,5/4/18,6/18/18,Tennessee Valley Authority,KY,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249107,Ashley Pilakowski,865-632-2256
20180075,Pure Water San Diego Program North City Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248425,Final,,5/4/18,6/4/18,Bureau of Reclamation,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248425,Doug McPherson,(951) 695-5310